% f evaluations | g evaluations | best noise-free fitness - Fopt (6.870000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
2 0 +2.393982339e+01 +3.999198234e+02 +3.999198234e+02 -3.3642e-01 +4.7769e+00 +3.0709e+00 +3.7782e+00 +4.8200e+00
3 0 +7.959633413e+00 +3.839396334e+02 +3.839396334e+02 +3.5927e+00 -2.4057e+00 -4.7709e+00 -2.7310e+00 -2.0153e+00
10 0 +6.826717366e+00 +3.828067174e+02 +3.828067174e+02 -2.8870e-01 -2.3289e+00 +1.2962e+00 -1.7875e+00 +9.7171e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.460000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.438899280e+01 +1.192899280e+01 +1.192899280e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 0 +9.620806077e+00 +7.160806077e+00 +7.160806077e+00 +6.5430e-01 +4.5549e+00 -2.4002e+00 +3.8726e-01 +2.0416e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.839404167e+01 +1.018394042e+03 +1.018394042e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +7.202412635e+00 +1.007202413e+03 +1.007202413e+03 +1.5883e-01 -1.6272e+00 -1.9728e-02 +3.7631e+00 +1.0970e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.845100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.678444791e+01 -2.477255521e+02 -2.477255521e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +3.424979527e+01 -2.502602047e+02 -2.502602047e+02 +2.6128e+00 -1.0706e-01 +4.4992e+00 -2.3991e+00 +2.9709e+00
3 0 +2.385949947e+01 -2.606505005e+02 -2.606505005e+02 +4.8487e+00 +2.8300e-01 +2.7113e-01 +3.3735e+00 +4.3321e+00
4 0 +1.865695133e+01 -2.658530487e+02 -2.658530487e+02 -3.1673e-01 +1.2690e+00 +1.0059e-01 -3.8427e+00 +4.6236e+00
6 0 +1.517189587e+01 -2.693381041e+02 -2.693381041e+02 -2.1554e+00 -1.2577e+00 +3.7645e+00 -8.8948e-01 +2.0239e+00
7 0 +1.272453701e+01 -2.717854630e+02 -2.717854630e+02 -1.2462e+00 +8.5999e-01 +2.5184e-01 -2.9727e+00 +1.0120e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.946000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.061214335e+01 -8.847856645e+00 -8.847856645e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +8.152735061e+00 -1.130726494e+01 -1.130726494e+01 +1.0715e+00 -5.9423e-01 +1.1202e-01 +2.3382e+00 -3.0043e+00
